ANID	Project ID	Alternate_ID	Excavator	Source_Person	Affiliation	Region	Country	State_Province	County_District	Subregion	Site_Name	Site_Number	Material	Sample_Type	Description	Culture	Context	Provenience	Period	Analyis_Date	Fe	Fe_err	Zn	Zn_err	Rb	Rb_err	Sr	Sr_err	Y	Y_err	Zr	Zr_err	Nb	Nb_err	Th	Th_err	Source_Code	Source_Name								
BLUM0062	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3880	92	27	5	150	4	3	1	19	2	73	2	39	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0063	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7742	133	56	6	161	5	4	1	40	2	176	4	52	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0064	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7382	129	60	6	158	5	3	1	37	2	169	3	51	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0065	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7657	129	85	7	205	5	<LOD	1	58	2	181	3	90	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0066	9	19__-HB174-414	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Biface; Fragment	Ancestral Puebloan	Surface		Valdez	2020	7037	125	57	6	150	5	3	1	38	2	212	4	50	2	14	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0067	9	19__-HB096-389	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 9201	Obsidian	Artifact	Biface; Fragment	Ancestral Puebloan	Pithouse		Valdez	2020	6950	125	56	6	148	4	3	1	40	2	175	3	50	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0068	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Secondary	Ancestral Puebloan	Surface		Archaic	2020	7135	125	77	7	200	5	<LOD	1	59	2	182	3	95	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0069	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Archaic	2020	3355	91	30	5	128	4	3	1	19	2	64	2	35	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0070	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Archaic	2020	3738	91	29	5	149	4	4	1	19	2	72	2	43	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0071	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Archaic	2020	3382	91	23	5	133	4	3	1	18	2	71	2	35	2	12	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0072	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Archaic	2020	3989	93	31	5	142	4	3	1	19	2	66	2	36	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0073	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Archaic	2020	3830	94	29	5	151	5	3	1	19	2	71	2	39	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0074	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4435	96	31	5	149	4	4	1	21	2	70	2	42	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0075	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4468	99	29	5	165	5	4	1	20	2	78	2	41	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0076	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	3943	91	30	5	149	4	3	1	18	2	69	2	39	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0077	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4053	97	29	5	144	4	3	1	20	2	66	2	37	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0078	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4659	101	35	5	141	4	4	1	20	2	70	2	39	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0079	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	7714	131	57	6	157	5	3	1	40	2	166	3	49	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0080	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4204	96	25	5	155	5	3	1	20	2	72	2	41	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0081	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	3837	100	30	5	143	5	3	1	21	2	67	2	38	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0082	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4194	98	30	5	153	5	4	1	20	2	70	2	39	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0083	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	3877	93	33	5	142	4	3	1	20	2	71	2	39	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0084	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	3697	92	26	5	141	4	4	1	21	2	72	2	40	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0085	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4508	127	33	7	161	6	3	1	20	2	73	3	42	3	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0086	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4241	104	33	6	166	5	3	1	19	2	71	2	40	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0087	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	5009	125	36	6	167	6	3	1	19	2	69	3	38	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0088	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4054	99	32	5	158	5	4	1	19	2	72	2	41	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0089	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4831	114	38	6	167	5	4	1	19	2	83	3	37	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0090	9	1957-HB151-695	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Archaic	2020	4538	111	35	6	161	5	3	1	19	2	67	2	40	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0091	9	19__-HB103-398	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7388	129	56	6	150	5	4	1	36	2	159	3	48	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0092	9	19__-HB067-439	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 177835; LA 177836	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	4698	104	29	5	141	4	3	1	20	2	71	2	39	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0093	9	19__-HB095-446	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 9201	Obsidian	Artifact	Projectile Point; Corner Notched	Ancestral Puebloan	Surface		Valdez	2020	3938	93	30	5	142	4	4	1	19	2	68	2	40	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0094	9	1953-HB053-130	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB053 (White Property)		Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez Phase	2020	6919	125	71	7	190	5	<LOD	1	54	2	171	3	90	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0095	9	1953-HB053-130	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB053 (White Property)		Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez Phase	2020	9100	136	89	7	210	5	<LOD	1	60	2	179	3	91	3	23	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0096	9	19__-HB095-444	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 9201	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4429	95	33	5	162	4	4	1	21	2	73	2	42	2	19	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0097	9	1956-HB121-639	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	5668	109	32	5	149	4	4	1	21	2	74	2	40	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0098	9	1956-HB121-639	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4286	95	32	5	157	4	3	1	20	2	71	2	40	2	15	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0099	9	1956-HB121-639	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	5076	108	28	5	137	4	4	1	19	2	67	2	37	2	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0100	9	19__-HB126-407	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB126 (BSG Property)	LA 69139	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	3601	91	27	5	139	4	3	1	21	2	71	2	39	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0101	9	19__-HB126-407	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB126 (BSG Property)	LA 69139	Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez-Talpa	2020	8527	140	56	6	145	4	3	1	37	2	163	3	48	2	14	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0102	9	19__-HB093-382	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Projectile Point; Stemmed	Ancestral Puebloan	Surface		Valdez	2020	4000	96	33	5	136	4	3	1	18	2	68	2	37	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0103	9	19__-HB093-382	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4427	99	29	5	146	4	4	1	18	2	70	2	38	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0104	9	19__-HB159-701	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	6876	122	76	7	188	5	<LOD	1	53	2	170	3	87	3	20	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0105	9	1956-HB124-660	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3805	92	26	5	145	4	3	1	19	2	67	2	38	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0106	9	19__-HB158-412	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 145336	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Historic?	2020	4158	95	30	5	148	4	3	1	20	2	72	2	42	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0107	9	19__-HB108-403	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB108 (Benson Property)	LA 127200?	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	3769	91	28	5	144	4	3	1	19	2	69	2	38	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0108	9	19__-HB194-738	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Biface	Ancestral Puebloan	Surface		Archaic	2020	7064	128	55	6	142	4	3	1	35	2	164	3	45	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0109	9	1953-HB002-129	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Projectile Point; Lanceolate	Ancestral Puebloan	Surface		Unknown	2020	3793	90	27	5	145	4	4	1	20	2	71	2	39	2	14	1	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0110	9	1956-HB125-666	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Debris; Primary	Ancestral Puebloan	Surface		Valdez	2020	4012	92	32	5	152	4	4	1	21	2	73	2	42	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0111	9	1956-HB146-30	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Unknown	2020	6757	119	33	5	142	4	5	1	20	2	67	2	38	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0112	9	19__-HB114-405	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Unknown	2020	8171	134	38	5	140	4	5	1	18	2	72	2	37	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0113	9	1958-HB181-776	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Unknown	2020	7141	124	78	7	195	5	<LOD	1	57	2	171	3	87	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0114	9	1957-HB159-704	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4095	93	34	5	156	4	4	1	22	2	76	2	42	2	19	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0115	9	1957-HB159-704	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	4611	100	32	5	146	4	4	1	19	2	69	2	40	2	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0116	9	1957-HB159-704	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7187	128	51	6	157	5	2	1	40	2	171	3	52	2	13	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0117	9	1957-HB159-704	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	9641	143	78	7	194	5	2	1	58	2	172	3	92	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0118	9	1956-HB087-614	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 113784	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	6686	121	73	7	188	5	<LOD	1	53	2	164	3	85	3	18	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM0119	9	1956-HB087-614	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 113784	Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez	2020	3462	91	24	5	133	4	2	1	18	2	65	2	36	2	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM0120	9	1956-HB087-614	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 113784	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2020	7574	128	55	6	149	4	4	1	39	2	161	3	51	2	15	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0121	9	19__-HB147-410	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez?	2020	6463	136	52	7	126	5	3	1	32	2	140	4	41	2	12	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0122	9	19__-HB147-410	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Valdez?	2020	10242	165	66	7	161	5	4	1	39	2	170	4	47	2	16	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM0123	9	1954-HB083-80	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau			Obsidian	Artifact	Flake; Secondary (Primary cortex)	Ancestral Puebloan	Subsurface	Pithouse	Valdez	2020	6965	124	82	7	193	5	<LOD	1	54	2	172	3	89	3	21	2	JMOR-NM	Jemez Mountains: Obsidian Ridge/Rabbit Mtn								
BLUM500	9	1954-HB044-068	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB044 (Sagebrush)	LA 133134	Obsidian	Artifact	Flake; Primary	Ancestral Puebloan	Surface		Talpa Phase	2021	6813	96	44	5	142	3	2	1	36	1	143	2	45	1	14	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM501	9	1954-HB044-068	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB044 (Sagebrush)	LA 133134	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Talpa Phase	2021	6981	95	47	5	140	3	2	1	35	1	143	2	48	1	13	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM502	9	1954-HB058-438	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB058 (Archuleta)	LA 71187	Obsidian	Artifact	Biface	Ancestral Puebloan	Subsurface	Upper end of Section A; Trench A	Talpa Phase	2021	3847	68	20	4	146	3	3	1	20	1	52	2	39	1	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM503	9	1958-HB089-608	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB089 (Llano Quemado)	LA 186659	Obsidian	Artifact	Flake; Primary (waterworn)	Ancestral Puebloan	Surface		Valdez	2021	4171	75	22	4	135	3	3	1	18	1	47	2	36	1	14	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM504	9	19__-HB095-447	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 9201	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2021	4922	76	30	4	143	3	3	1	20	1	54	2	39	1	16	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM505	9	19__-HB176-464	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 163530	Obsidian	Artifact	Projectile Point; Uniface; Distal Fragment	Ancestral Puebloan	Surface		Valdez	2021	8081	104	58	6	158	3	3	1	36	1	155	3	48	1	16	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
BLUM506	9	19__-HB176-464	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau		LA 163530	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2021	4376	72	24	4	142	3	3	1	19	1	52	2	40	1	15	2	JMPV-NM	Jemez Mountains: El Rechuelos								
BLUM507	9	19__-HB086-591	"Blumenschein, Helen G."	"Boulanger, Matthew T."	Southern Methodist University	North America: Southwest	United States of America	New Mexico	Taos	Taos Plateau	HGB086 (Water Tower)	LA 131477	Obsidian	Artifact	Flake; Tertiary	Ancestral Puebloan	Surface		Valdez	2021	8503	105	59	6	163	3	3	1	40	1	160	3	50	1	17	2	JMCM1-NM	Jemez Mountains: Cerro del Medio								
